year,geography_type,geography_id,geography_name,total_storefronts,vacant_storefronts,vacancy_rate,median_rent_psf_class2_4,total_storefronts_class1,vacant_storefronts_class1,vacancy_rate_class1,total_storefronts_class2_4,vacant_storefronts_class2_4,vacancy_rate_class2_4,total_storefronts_all,vacant_storefronts_all,vacancy_rate_all,has_full_class1_vacancy,has_full_class24_vacancy
2019,census tract,1.0197.02,1.0197.02,10.0,0.0,0.0,3.0,,,,10.0,0.0,0.0,10.0,0.0,0.0,True,True
2019,census tract,1.0198.00,1.0198.00,43.0,,,4.0,,,,43.0,,,43.0,,,True,False
2019,census tract,1.0199.00,1.0199.00,52.0,,,10.32,,,,52.0,,,52.0,,,True,False
2019,census tract,1.0200.00,1.0200.00,68.0,,,7.0,,,,68.0,,,68.0,,,True,False
2019,census tract,1.0201.02,1.0201.02,26.0,,,4.64,,,,26.0,,,26.0,,,True,False
2019,census tract,1.0206.00,1.0206.00,36.0,,,2.78,,,,36.0,,,36.0,,,True,False
2019,census tract,1.0207.01,1.0207.01,13.0,0.0,0.0,6.0,,,,13.0,0.0,0.0,13.0,0.0,0.0,True,True
2019,census tract,1.0208.00,1.0208.00,22.0,,,3.5,,,,22.0,,,22.0,,,True,False
2019,census tract,1.0209.01,1.0209.01,44.0,,,5.85,,,,44.0,,,44.0,,,True,False
2019,census tract,1.0211.00,1.0211.00,48.0,,,5.580000000000001,,,,48.0,,,48.0,,,True,False
2019,census tract,1.0212.00,1.0212.00,56.0,,,3.0,,,,56.0,,,56.0,,,True,False
2019,census tract,1.0213.03,1.0213.03,26.0,,,3.92,,,,26.0,,,26.0,,,True,False
2019,census tract,1.0215.00,1.0215.00,21.0,,,3.0,,,,21.0,,,21.0,,,True,False
2019,census tract,1.0216.00,1.0216.00,29.0,,,5.76,,,,29.0,,,29.0,,,True,False
2019,census tract,1.0218.00,1.0218.00,78.0,,,4.0,,,,78.0,,,78.0,,,True,False
2019,census tract,1.0219.00,1.0219.00,54.0,,,5.0,,,,54.0,,,54.0,,,True,False
2019,census tract,1.0220.00,1.0220.00,53.0,,,4.92,,,,53.0,,,53.0,,,True,False
2019,census tract,1.0221.02,1.0221.02,20.0,0.0,0.0,4.83,,,,20.0,0.0,0.0,20.0,0.0,0.0,True,True
2019,census tract,1.0222.00,1.0222.00,89.0,,,6.0,,,,89.0,,,89.0,,,True,False
2019,census tract,1.0223.01,1.0223.01,53.0,,,6.04,,,,53.0,,,53.0,,,True,False
2019,census tract,1.0223.02,1.0223.02,12.0,0.0,0.0,14.0,,,,12.0,0.0,0.0,12.0,0.0,0.0,True,True
2019,census tract,1.0224.00,1.0224.00,36.0,,,3.0,,,,36.0,,,36.0,,,True,False
2019,census tract,1.0225.00,1.0225.00,90.0,,,6.0,,,,90.0,,,90.0,,,True,False
2019,census tract,1.0226.00,1.0226.00,66.0,,,4.0,,,,66.0,,,66.0,,,True,False
2019,census tract,1.0227.00,1.0227.00,31.0,,,7.0,,,,31.0,,,31.0,,,True,False
2019,census tract,1.0228.00,1.0228.00,58.0,,,4.0,,,,58.0,,,58.0,,,True,False
2019,census tract,1.0229.00,1.0229.00,82.0,,,6.0,,,,82.0,,,82.0,,,True,False
2019,census tract,1.0230.00,1.0230.00,65.0,10.0,0.15384615384615385,4.0,,,,65.0,10.0,0.15384615384615385,65.0,10.0,0.15384615384615385,True,True
2019,census tract,1.0231.00,1.0231.00,43.0,,,4.42,,,,43.0,,,43.0,,,True,False
2019,census tract,1.0232.00,1.0232.00,115.0,,,3.67,,,,115.0,,,115.0,,,True,False
2019,census tract,1.0233.00,1.0233.00,71.0,,,7.299999999999999,,,,71.0,,,71.0,,,True,False
